0,0,-1
0,1,-0.585786
0,2,0.236068
0,3,1.16228
0,4,2.12311
0,5,3.09902
0,6,4.08276
0,7,5.07107
0,8,6.06226
0,9,7.05539
1,0,-0.267949
1,1,0
1,2,0.645751
1,3,1.4641
1,4,2.3589
1,5,3.2915
1,6,4.245
1,7,5.2111
1,8,6.18535
1,9,7.16515
2,0,-1
2,1,-0.585786
2,2,0.236068
2,3,1.16228
2,4,2.12311
2,5,3.09902
2,6,4.08276
2,7,5.07107
2,8,6.06226
2,9,7.05539
3,0,-nan(ind)
3,1,-nan(ind)
3,2,-nan(ind)
3,3,0
3,4,1.31662
3,5,2.47214
3,6,3.56776
3,7,4.63325
3,8,5.68115
3,9,6.7178
