/* 2D const*/
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1

/* 2D 2x^2 */
1, 2
2, 9
3, 17
4, 31
5, 50
6, 72
7, 100

/* 2D x^2 */
1, 1
2, 4
3, 9
4, 16
5, 25
6, 36
7, 49
8, 65

/*2D x^3 - 5x */
0,0
1, -4
2, -2
3, 12
4, 44
5, 100
6, 186
7, 308
8, 472

/* 2D x^2 - 3x + 4 */
-10, 134
-9, 112
-5, 44
0, 4
1, 2
3, 4
4, 8
5,14
6, 22
7, 32
8, 44
9, 58
10, 74

/* 3D*/
1,-1,1
2,-2,2
3,-3,3
4,-4,4
5,-5,5

/*3D z = x + y */
1,1,2
2,2,3
3,3,6
4,4,8
5,5,10
6,6,12
7,7,14
8,8,16
9,9,18
10,10,20

/*3D z = x ^ 2 + y */
1,1,2
2,2,6
3,0,9
0,4,4
2,-1,3
-3,14,23
7,0,7
2,-4,0
9,0,81
0,10,10
 
/* 3D z = x */
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10

/* 3D z = y */
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10

/* 3d z = (x + y) / 2*/
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10

/* 3d z = x + 2 * y */
1,1,3
0,2,4
3,3,9
4,0,4
5,5,15
3,6,15
-4,10,16
8,0,8
9,0,9
0,10,20

/* 3d z = x^2 + y */
1,1,2
2,2,6
3,0,9
0,4,4
2,-1,3
-3,14,23
7,0,7
2,-4,0
9,0,81
0,10,10

/* 3d z = x^2 + y */
1,1,2
2,2,6
3,0,9
0,4,4
2,-1,3
-3,14,23
7,0,7
2,-4,0
9,0,81
0,10,10
